44C9    00
44D2    01
44DB    02
44E4    03
44ED    04
44F6    05
44FF    06
4508    07
4511    08
451A    09
4523    0A
452C    0B
4535    0C
453E    0D
4547    0E
4550    0F
4559    10
4562    11
456B    12
4574    13
457D    14
4586    15
458F    16
4598    17
45A1    18
45AA    19
45B3    1A
45BC    1B
45C9    1C
45C9    1D
45D2    1E
45DB    1F
45E4    20
45ED    21
45F6    22
45FF    23
4608    24
4611    25
461A    26
4623    27
462C    28
4635    29
463E    2A
4647    2B
4650    2C
4659    2D
4662    2E
466B    2F
4674    30
467D    31
4686    32
468F    33
4698    34
46A1    35
46AA    36
46B3    37
46BC    38
46C9    39
46D2    3A
46DB    3B
46E4    3C
46ED    3D
46F6    3E
46FF    3F
4708    40
4711    41
471A    42
4723    43
472C    44
4735    45
473E    46
4747    47
4750    48
4759    49
4762    4A
476B    4B
4774    4C
477D    4D
4786    4E
478F    4F
4798    50
47A1    51
47AA    52
47B3    53
47BC    54
47C5    55
47CE    56
47D7    57
47E0    58
47E9    59
47F2    5A
47FB    5B
4804    5C
480D    5D
4816    5E
481F    5F
4828    60
4831    61
483A    62
4843    63
484C    64
4855    65
485E    66
4867    67
4870    68
4879    69
4882    6A
488B    6B
4894    6C
489D    6D
48A6    6E
48AF    6F
48B8    70
48C1    71
48CA    72
48D3    73
48DC    74
48E5    75
48EE    76
48F7    77
4900    78
4909    79
4912    7A
491B    7B
4924    7C
492D    7D
4936    7E
493F    7F
4948    80
4951    81
495A    82
4963    83
496C    84
4975    85
497E    86
4987    87
4990    88
4999    89
49A2    8A
49AB    8B
49B4    8C
49BD    8D
49C6    8E
49CF    8F
49D8    90
49E1    91
49EA    92
49F3    93
49FC    94
4A05    95
4A0E    96
4A17    97
4A20    98
4A29    99
4A32    9A
4A3B    9B
4A44    9C
4A4D    9D
4A56    9E
4A5F    9F
4A68    A0
4A71    A1
4A7A    A2
4A83    A3
4A8C    A4
4A95    A5
4A9E    A6
4AA7    A7
4AB0    A8
4AB9    A9
4AC2    AA
4ACB    AB
4AD4    AC
4ADD    AD
4AE6    AE
4AEF    AF
4AF8    B0
4B01    B1
4B0A    B2
4B13    B3
4B1C    B4
4B25    B5
4B2E    B6
4B37    B7
4B40    B8
4B49    B9
4B52    BA
4B5B    BB
4B64    BC
4B6D    BD
4B76    BE
4B7F    BF
4B88    C0
4B91    C1
4B9A    C2
4BA3    C3
4BAC    C4
4BB5    C5
4BBE    C6
4BC7    C7
4BD0    C8
4BD9    C9
4BE2    CA
4BEB    CB
4BF4    CC
4BFD    CD
4C06    CE
4C0F    CF
4C18    D0
4C21    D1
4C2A    D2
4C33    D3
4C3C    D4
4C45    D5
4C4E    D6
4C57    D7
4C60    D8
4C69    D9
4C72    DA
4C7B    DB
4C84    DC
4C8D    DD
4C96    DE
4C9F    DF
4CA8    E0
4CB1    E1
4CBA    E2
4CC3    E3
4CCC    E4
4CD5    E5
4CDE    E6
4CE7    E7
4CF0    E8
4CF9    E9
4D02    EA
4D0B    EB
4D14    EC
4D1D    ED
4D26    EE
4D2F    EF
4D38    F0
4D41    F1
4D4A    F2
4D53    F3
4D5C    F4
4D65    F5
4D6E    F6
4D77    F7
4D80    F8
4D89    F9
4D92    FA
4D9B    FB
4DA4    FC
4DAD    FD
4DB6    FE
4DBF    FF
